Year,Town Gas & Liquefied Petroleum Gas (Unit : Terajoule),Town Gas & Liquefied Petroleum Gas Percentage (%),Oil & Coal Products (Unit : Terajoule),Oil & Coal Products Percentage (%),Electricity (Unit : Terajoule),Electricity Percentage (%)
2010,937,6,4035,25,11082,69
2011,956,7,3978,28,9220,65
2012,1111,8,3728,27,8816,65
2013,1229,9,3571,27,8405,64
2014,1264,10,3389,26,8374,64
2015,1308,10,3386,26,8359,64
2016,1232,10,3190,26,7872,64
2017,1317,10,3442,27,7963,63
2018,1448,11,3443,27,7938,62
2019,1596,13,3177,26,7501,61
2020,1470,12,3309,27,7383,61
