Year,Residential (Unit : Terajoule),Residential Percentage (%),Commercial (Unit : Terajoule),Commercial Percentage (%),Industrial (Unit : Terajoule),Industrial Percentage (%),Transport (Unit : Terajoule),Transport Percentage (%)
2010,58396,21,116391,41,16053,6,90889,32
2011,58857,21,116013,42,14155,5,90498,32
2012,60037,21,118330,42,13655,5,90033,32
2013,58582,21,118209,42,13204,5,89593,32
2014,62103,22,119617,42,13028,5,89236,31
2015,60439,21,120419,43,13054,5,89049,31
2016,61704,22,120460,42,12294,4,89105,31
2017,60476,22,120410,43,12722,5,87397,31
2018,61557,22,122222,43,12829,5,85878,30
2019,61022,22,123005,43,12274,4,87225,31
2020,66416,24,114513,42,12162,4,79399,29
