Year,Residential (Unit : Terajoule),Residential Percentage (%),Commercial (Unit : Terajoule),Commercial Percentage (%),Industrial (Unit : Terajoule),Industrial Percentage (%),Transport (Unit : Terajoule),Transport Percentage (%)
2010,13,0,4526,6,4035,5,73213,90
2011,8,0,1979,3,3978,5,72383,92
2012,8,0,1696,2,3728,5,71927,93
2013,7,0,1477,2,3571,5,71449,93
2014,7,0,1431,2,3389,5,70165,94
2015,8,0,1235,2,3386,4,70997,94
2016,10,0,1019,1,3190,4,71130,94
2017,14,0,830,1,3442,5,70835,94
2018,14,0,675,1,3443,5,70320,94
2019,15,0,574,1,3177,4,70754,95
2020,15,0,498,1,3309,5,65373,94
