Year,Town Gas & Liquefied Petroleum Gas (Unit : Terajoule),Town Gas & Liquefied Petroleum Gas Percentage (%),Oil & Coal Products (Unit : Terajoule),Oil & Coal Products Percentage (%),Electricity (Unit : Terajoule),Electricity Percentage (%)
2010,13971,12,4526,4,97894,84
2011,14129,12,1979,2,99905,86
2012,14280,12,1696,1,102353,86
2013,14512,12,1477,1,102221,86
2014,14713,12,1431,1,103473,87
2015,14535,12,1235,1,104649,87
2016,14601,12,1019,1,104841,87
2017,14908,12,830,1,104672,87
2018,15253,12,675,1,106294,87
2019,14440,12,574,0,107992,88
2020,11844,10,498,0,102171,89
