Year,Town Gas & Liquefied Petroleum Gas (Unit : Terajoule),Town Gas & Liquefied Petroleum Gas Percentage (%),Oil & Coal Products (Unit : Terajoule),Oil & Coal Products Percentage (%),Electricity (Unit : Terajoule),Electricity Percentage (%)
2010,15137,17,73213,81,2540,3
2011,15506,17,72383,80,2609,3
2012,15384,17,71927,80,2722,3
2013,15348,17,71449,80,2796,3
2014,16185,18,70165,79,2886,3
2015,15048,17,70997,80,3004,3
2016,14967,17,71130,80,3008,3
2017,13347,15,70835,81,3215,4
2018,12262,14,70320,82,3297,4
2019,13232,15,70754,81,3239,4
2020,11155,14,65373,82,2871,4
