Year,Town Gas & Liquefied Petroleum Gas (Unit : Terajoule),Town Gas & Liquefied Petroleum Gas Percentage (%),Oil & Coal Products (Unit : Terajoule),Oil & Coal Products Percentage (%),Electricity (Unit : Terajoule),Electricity Percentage (%)
2010,19038,33,13,0,39344,67
2011,18977,32,8,0,39872,68
2012,18841,31,8,0,41189,69
2013,18635,32,7,0,39941,68
2014,18681,30,7,0,43415,70
2015,18063,30,8,0,42368,70
2016,18574,30,10,0,43120,70
2017,18335,30,14,0,42127,70
2018,19578,32,14,0,41965,68
2019,18070,30,15,0,42937,70
2020,19726,30,15,0,46675,70
