Year,Cooking (Unit : Terajoule),Air Conditioning (Unit : Terajoule),Hot Water (Unit : Terajoule),Lighting (Unit : Terajoule),Refrigeration (Unit : Terajoule),Office Equipment (Unit : Terajoule),Laundry (Unit : Terajoule),Others (Unit : Terajoule)
2010,667,2285,178,645,926,1029,,504
2011,613,2163,133,585,857,1025,,556
2012,605,2162,105,561,838,1127,,669
2013,789,2075,120,480,741,945,,654
2014,855,2565,144,454,715,873,,706
2015,865,2605,151,400,632,758,,706
2016,895,2676,171,359,560,674,,713
2017,904,2693,177,316,476,580,459,233
2018,901,2658,176,315,474,578,457,233
2019,937,2757,176,328,500,601,476,242
2020,996,3102,188,349,530,639,506,257
